State,y1960,y1970,y1980,y1990,y2000,y2010,y2020
Alabama,3266740,3444165,3893888,4040587,4447100,4779736,5024279
Alaska,226167,300382,401851,550043,626932,710231,731545
Arizona,1302161,1770900,2718215,3665228,5130632,6392017,7151502
Arkansas,1786272,1923295,2286435,2350725,2673400,2915918,3013756
California,15717204,19953134,23667902,29760021,33871648,37253956,39538223
Colorado,1753947,2202890,2875144,3294394,4301261,5029196,5893634
Connecticut,2450720,3031709,3107576,3287116,3405565,3574097,3605944
Delaware,446292,548104,594338,666168,783600,897934,989948
Florida,4951560,6789443,9746324,12937926,15982378,18801310,21538187
Georgia,3833074,4589575,5463105,6478216,8186453,9687653,10711908
Hawaii,632772,768561,964691,1108229,1211537,1360301,1455271
Idaho,667191,712567,943935,1006749,1293953,1567582,1841377
Illinois,10106742,11113976,11426518,11430602,12419293,12830632,12812508
Indiana,4662498,5130802,5490224,5544159,6080485,6483802,6805663
Iowa,2631566,2759733,2913808,2776755,2926324,3046355,3156145
Kansas,2246578,2178611,2289644,2477574,2688418,2853118,2913314
Kentucky,2952164,3266740,3660777,3685296,4041769,4339367,4505836
Louisiana,3257022,3647251,4205900,4219973,4468976,4533372,4648794
Maine,969265,992048,1124660,1227928,1274923,1328361,1362359
Maryland,3197287,3922399,4216975,4781468,5296486,5773552,6116843
Massachusetts,5302800,5689170,5689170,6016425,6349097,6547629,7029917
Michigan,7630659,8185867,9264912,9295297,9938444,9883640,10077331
Minnesota,3804254,4075974,4375099,4919479,5303925,5606249,5706494
Mississippi,2178141,2178141,2520638,2573216,2844658,2967297,2961279
Missouri,4319813,4676501,4916686,5117073,5595211,5988927,6154913
Montana,674767,694409,786690,799065,902195,989415,1080400
Nebraska,1377963,1493006,1569825,1578385,1711263,1826341,1961504
Nevada,285278,488738,800493,1201833,1998257,2700551,3196810
New Hampshire,606921,737681,920610,1003345,1235786,1316470,1372204
New Jersey,6993824,7470322,7364823,7730188,8414350,8791894,9288994
New Mexico,951023,1007666,1302892,1515069,1819046,2059179,2117522
New York,16287530,18236967,17558072,17990455,18976457,19378102,20215751
North Carolina,4654933,5310883,5881766,6628637,8049313,9535483,10453948
North Dakota,632446,617761,652717,638800,642200,672591,779094
Ohio,9463664,10734697,10797630,10847115,11353140,11536504,11799448
Oklahoma,2426414,2688105,3025290,3145585,3450654,3751351,3980783
Oregon,1989560,2091385,2635345,2842321,3421399,3831073,4241500
Pennsylvania,11780367,11863895,11881643,12281054,12787209,12702379,13002700
Rhode Island,859488,949723,947154,1003464,1048319,1052567,1097379
South Carolina,2427698,2649311,3121820,3486703,4012012,4625401,5118425
South Dakota,680514,665507,690768,696004,754844,814180,887770
Tennessee,3533087,3842859,4219233,4877185,5689283,6346105,6944260
Texas,9579677,11196730,14229191,16986510,20851820,25145561,29145505
Utah,890627,1059866,1490261,1722850,2233169,2763885,3271616
Vermont,389881,444330,511456,562758,608827,625741,643503
Virginia,3938886,4648496,5223980,6187358,7078515,8001024,8631393
Washington,2853214,3409169,4110491,4866692,5894121,6724540,7693612
West Virginia,1860421,1744237,1975179,1793477,1808344,1852994,1778070
Wisconsin,4340785,4824453,4880736,4891769,5363675,5686986,5893718
Wyoming,330066,332416,469557,453588,493782,563626,576851
